Rank,Run_ID,Passed_Constraints,Total_Constraints,Warnings,Unassigned,Hour_Difference,Discrimination_Score,WD_Morn,WD_Aftn,SatMornPers,SunMPPers,WeekHrs,MonthNightLim,Month_Wknd,ForbShifts,Festivity,caio_M,caio_P,caio_N,caio_WKND,caio_totH,caio_avgH,genoveffa_M,genoveffa_P,genoveffa_N,genoveffa_WKND,genoveffa_totH,genoveffa_avgH,pallo_M,pallo_P,pallo_N,pallo_WKND,pallo_totH,pallo_avgH,pinco_M,pinco_P,pinco_N,pinco_WKND,pinco_totH,pinco_avgH,sempronio_M,sempronio_P,sempronio_N,sempronio_WKND,sempronio_totH,sempronio_avgH,tizio_M,tizio_P,tizio_N,tizio_WKND,tizio_totH,tizio_avgH
25,55,7,9,1,1,24,10.0,*,,,,*,,,,,15,4,0,2,138,31.9,12,5,1,1,126,29.1,8,1,1,2,144,33.3,11,1,1,0,138,31.9,13,4,1,2,150,34.6,14,4,1,1,144,33.3
26,95,7,9,1,1,24,10.0,*,,,,*,,,,,15,4,0,2,138,31.9,13,4,1,1,126,29.1,9,1,1,1,150,34.6,10,2,1,0,138,31.9,13,5,1,2,144,33.3,14,3,1,2,150,34.6
27,66,7,9,1,1,30,8.0,*,,,,*,,,,,14,5,1,1,138,31.9,13,4,1,1,126,29.1,8,1,1,2,144,33.3,10,3,0,1,132,30.5,15,3,1,1,144,33.3,13,3,1,2,156,36.0
28,2,7,9,1,1,30,9.0,*,,,,*,,,,,14,4,1,2,144,33.3,13,4,1,0,126,29.1,8,1,0,2,156,36.0,10,4,1,0,126,29.1,15,3,1,2,156,36.0,14,3,1,2,138,31.9
29,75,7,9,1,1,36,9.0,*,,,,*,,,,,14,3,1,2,150,34.6,13,5,1,0,120,27.7,9,2,0,2,138,31.9,9,3,1,0,126,29.1,15,3,1,2,156,36.0,14,3,1,2,150,34.6
30,3,7,9,1,1,42,10.0,*,,,,*,,,,,13,5,1,2,144,33.3,12,5,1,0,114,26.3,8,1,0,2,156,36.0,9,3,1,0,114,26.3,15,3,1,2,156,36.0,15,2,1,2,150,34.6
31,57,7,9,1,1,48,10.0,*,,,,*,,,,,13,5,1,2,144,33.3,13,5,0,0,108,24.9,8,2,1,2,156,36.0,11,1,1,0,126,29.1,14,2,1,2,156,36.0,14,4,1,2,144,33.3
32,64,6,9,1,1,18,8.0,*,,,,*,*,,,,15,4,0,2,138,31.9,13,4,2,1,150,34.6,8,2,1,1,132,30.5,11,2,0,1,144,33.3,15,4,0,2,138,31.9,13,3,2,1,144,33.3
33,98,6,9,1,1,18,10.0,*,,,,*,*,,,,15,3,1,1,144,33.3,13,4,1,2,138,31.9,8,2,2,0,132,30.5,10,3,0,1,132,30.5,16,3,0,2,150,34.6,13,4,1,2,150,34.6
34,92,6,9,1,1,18,11.0,*,,,,*,*,,,,14,4,1,2,144,33.3,14,4,0,1,132,30.5,8,1,1,1,132,30.5,9,3,2,0,138,31.9,15,4,0,2,150,34.6,14,3,1,2,150,34.6
35,25,6,9,1,1,24,11.0,*,,,,*,*,,,,13,4,1,1,138,31.9,13,4,1,2,150,34.6,9,1,0,2,138,31.9,9,3,2,0,126,29.1,15,4,0,2,150,34.6,14,3,1,1,138,31.9
