Rank,Run_ID,Passed_Constraints,Total_Constraints,Warnings,Unassigned,Hour_Difference,Discrimination_Score,WD_Morn,WD_Aftn,SatMornPers,SunMPPers,WeekHrs,MonthNightLim,Month_Wknd,ForbShifts,Festivity,1_M,1_P,1_N,1_WKND,1_totH,1_avgH,2_M,2_P,2_N,2_WKND,2_totH,2_avgH,3_M,3_P,3_N,3_WKND,3_totH,3_avgH,4_M,4_P,4_N,4_WKND,4_totH,4_avgH,5_M,5_P,5_N,5_WKND,5_totH,5_avgH,6_M,6_P,6_N,6_WKND,6_totH,6_avgH
26,22,7,9,1,1,42,10.0,*,,,,*,,,,,10,3,1,1,144,33.3,8,1,1,2,156,36.0,15,3,1,2,144,33.3,15,3,1,1,144,33.3,15,4,0,2,150,34.6,12,5,1,0,114,26.3
27,66,7,9,1,1,42,10.0,*,,,,*,,,,,8,4,1,0,114,26.3,8,1,1,2,144,33.3,15,3,0,2,156,36.0,14,3,1,1,138,31.9,14,5,1,2,150,34.6,14,3,1,1,138,31.9
28,24,6,9,1,1,12,12.0,*,,,,*,*,,,,12,1,1,0,144,33.3,9,1,0,1,138,31.9,13,5,0,2,132,30.5,14,4,1,2,144,33.3,12,5,1,2,138,31.9,13,3,2,1,144,33.3
29,14,6,9,1,1,18,11.0,*,,,,*,*,,,,11,2,0,1,132,30.5,9,2,0,2,150,34.6,13,5,0,2,132,30.5,16,2,1,1,144,33.3,13,3,3,1,144,33.3,12,5,1,1,138,31.9
30,55,6,9,1,1,18,12.0,*,,,,*,*,,,,12,1,0,0,132,30.5,8,1,1,1,144,33.3,12,4,2,2,144,33.3,14,5,0,2,138,31.9,15,4,0,2,150,34.6,13,4,2,1,138,31.9
31,76,6,9,1,1,24,9.0,*,,,,*,*,,,,11,1,1,1,150,34.6,8,3,0,2,138,31.9,13,4,1,1,126,29.1,15,4,1,1,138,31.9,12,4,2,2,144,33.3,15,3,0,1,144,33.3
32,83,6,9,1,1,24,10.0,*,,,,*,*,,,,11,2,0,1,144,33.3,8,2,1,1,132,30.5,14,3,1,2,150,34.6,13,4,1,2,150,34.6,15,4,0,2,138,31.9,13,4,2,0,126,29.1
33,71,6,9,1,1,24,11.0,*,,,,*,*,,,,9,3,2,0,126,29.1,8,1,1,1,144,33.3,14,3,1,2,150,34.6,14,4,1,2,144,33.3,15,4,0,2,150,34.6,14,4,0,1,132,30.5
34,94,6,9,1,1,24,11.0,*,,,,*,*,,,,10,3,0,1,132,30.5,8,1,2,2,156,36.0,14,4,0,1,132,30.5,14,4,1,2,144,33.3,16,3,0,2,150,34.6,12,4,2,0,132,30.5
35,58,6,9,1,1,24,12.0,*,,,,*,*,,,,10,2,1,0,138,31.9,9,1,0,2,138,31.9,13,3,2,2,156,36.0,14,4,1,2,144,33.3,14,5,0,2,138,31.9,14,4,1,0,132,30.5
36,27,6,9,1,1,24,13.0,*,,,,*,*,,,,10,3,1,1,144,33.3,8,0,1,2,144,33.3,14,3,1,2,150,34.6,15,4,0,1,138,31.9,15,4,0,2,150,34.6,12,5,2,0,126,29.1
37,56,6,9,1,1,24,15.0,*,,,,*,*,,,,10,3,0,1,132,30.5,8,0,1,2,156,36.0,14,4,0,1,132,30.5,14,4,1,2,144,33.3,14,5,0,2,138,31.9,13,3,3,0,144,33.3
38,64,6,9,1,1,30,9.0,*,,,,*,*,,,,12,2,0,1,138,31.9,9,2,0,1,138,31.9,15,3,1,2,156,36.0,13,3,2,2,156,36.0,14,5,0,1,126,29.1,12,4,2,1,132,30.5
